Name,Abung,Balagbag,Barualte,Bataan,Buhay Na Sapa,Bulsa,Calicanto,Calitcalit,Calubcub I,Calubcub II,Catmon,Coloconto,Escribano,Hugom,Imelda (Tubog),Janaojanao,Laiya-Aplaya,Laiya-Ibabao,Libato,Lipahan,Mabalanoy,Maraykit,Muzon,Nagsaulay,Palahanan I,Palahanan II,Palingowak,Pinagbayanan,Poblacion,Poctol,Pulangbato,Putingbuhangin,Quipot,Sampiro,Sapangan,Sico I,Sico II,Subukin,Talahiban I,Talahiban II,Ticalan,Tipaz
Paaralang Elementarya Ng Escribano,10700.55,8399.740999999998,22679.231000000003,19985.438,8123.555,20804.256000000005,3846.8430000000003,6791.388,12499.447999999999,14217.939999999999,12509.487,17740.734999999997,0,27806.261,24339.108000000007,5981.297,26061.067000000003,22333.259000000005,1847.6979999999999,7470.01,5167.571999999999,4126.849,4253.0610000000015,17847.67,3978.155,3737.6949999999997,7406.1129999999985,10714.883000000002,5242.701999999999,10272.914,15809.840999999999,10442.255000000001,12202.074,8567.962,5078.672999999999,2669.9900000000002,3696.056,15768.623999999998,5062.813,6458.417999999999,10453.671,8745.727
Hugom Elementary School,17105.710999999996,21393.022999999997,8516.326000000005,7820.822999999999,19682.705999999995,10375.26,25647.836,25045.020999999997,15306.812999999996,14042.118999999995,25535.2,12685.018999999997,27806.261000000006,0,10176.203000000003,29700.63400000001,2507.9919999999997,5473.0019999999995,29046.68700000001,25798.225000000002,22965.716,24932.467999999997,29769.794000000013,9958.591000000002,27697.492000000006,29001.41600000001,24889.583,23708.165,24304.196,26089.426000000007,18481.089999999993,19401.858999999997,21918.245,21409.700999999997,25407.122,26389.327000000005,27415.393000000007,12037.636999999999,22743.448,22650.08,21408.256999999998,26999.360000000004
Imelda Elementary School,13638.557999999995,17925.869999999995,1659.8770000000002,4353.67,16215.552999999993,6908.107000000001,22180.682999999997,21577.867999999995,11839.66,10574.966,22068.047,9217.866,24339.108,10176.203000000001,0,26233.481000000007,8431.009,4703.201,25579.534000000007,22331.072,19498.562999999995,21465.314999999995,26302.64100000001,6491.438000000001,24230.339,25534.263000000006,21422.429999999993,20241.011999999995,20837.042999999998,22622.273,15013.936999999994,15934.705999999995,18451.091999999993,17942.547999999995,21939.968999999997,22922.174,23948.240000000005,8570.484000000002,19276.29499999999,19182.926999999996,17941.103999999996,23532.207000000002
Paaralang Elementarya ng Janaojanao,13214.507000000003,10586.670999999997,25193.18799999999,22499.39499999999,10637.511999999997,23318.212999999992,5130.537,8059.43,15013.405000000008,16731.897000000004,13821.985999999999,20254.692,6623.673999999999,30320.21799999999,26853.065,642.377,28575.023999999994,24847.215999999997,5838.389,7018.552,7354.502,5410.543,4867.984,20361.626999999993,4176.2970000000005,4407.166,8827.362,12901.813000000004,6526.395999999999,11540.956,18323.798000000003,12956.212000000005,14716.031000000006,12235.182000000004,11423.814999999999,3953.6840000000007,3894.198,18282.581000000002,9111.953,8645.347999999998,12967.628000000004,10013.769
Aplaya Elementary School,13772.499999999993,18059.811999999994,5183.115000000002,4487.612,16349.49499999999,7042.049,22314.624999999996,21711.809999999994,11973.601999999997,10708.907999999996,22201.988999999998,9351.807999999997,24473.050000000003,3333.211,6842.992000000001,26367.423000000006,1588.0169999999998,2139.791,25713.476000000006,22465.014,19632.504999999997,21599.256999999994,26436.58300000001,6625.38,24364.281000000003,25668.205000000005,21556.371999999996,20374.953999999998,20970.984999999997,22756.215000000004,15147.878999999992,16068.647999999992,18585.033999999996,18076.489999999994,22073.910999999996,23056.116,24082.182000000004,8704.426,19410.236999999997,19316.869,18075.045999999995,23666.149
Wenceslao I. Llana Memorial School,15428.340999999997,19715.653,6838.956,6143.4529999999995,18005.335999999996,8697.890000000001,23970.465999999997,23367.650999999994,13629.443000000001,12364.749,23857.829999999998,11007.649,26128.891000000003,4262.853000000001,8498.833,28023.264000000006,1754.8609999999999,4311.772,27369.317000000006,24120.855,21288.345999999998,23255.097999999994,28092.42400000001,8281.221000000001,26020.122000000003,27324.046000000006,23212.212999999996,22030.795,22626.825999999997,24412.056000000004,16803.719999999998,17724.488999999998,20240.874999999996,19732.331,23729.751999999997,24711.957000000002,25738.023000000005,10360.267000000002,21066.077999999998,20972.71,19730.887,25321.99
Laiya Elementary School,11467.612999999996,15754.924999999994,2878.2280000000005,2182.725,14044.607999999993,4737.162,20009.737999999994,19406.92299999999,9668.715,8404.020999999999,19897.101999999995,7046.9209999999985,22168.163,5638.098,4538.105000000001,24062.536000000004,3892.904,165.096,23408.589000000004,20160.126999999997,17327.617999999995,19294.36999999999,24131.696000000007,4320.493,22059.394,23363.318000000003,19251.484999999993,18070.066999999995,18666.097999999994,20451.328,12842.991999999995,13763.760999999995,16280.146999999994,15771.602999999994,19769.023999999994,20751.229,21777.295000000002,6399.539000000001,17105.349999999995,17011.981999999996,15770.158999999994,21361.262
Paaralang Elementarya ng Libato,12966.095000000005,10894.000999999998,24944.775999999994,22250.982999999997,10389.100000000004,23069.801,6341.103,9285.648000000001,14764.993000000004,16483.485000000004,15003.747000000001,20006.28,3332.3429999999994,30071.805999999986,26604.652999999995,7571.989999999999,28326.61199999999,24598.803999999996,1580.8609999999999,9964.27,7661.832000000001,6621.109,3986.224,20113.214999999997,4038.0699999999997,3470.8579999999997,9900.372999999998,13209.143000000002,7736.962,12767.174,16888.224000000002,12707.800000000005,14096.452000000003,8662.105,5172.815999999999,5164.25,4320.168999999999,18034.169,8395.156,8952.678000000002,12719.216000000004,11239.987
San Juan East Central School,7185.487000000003,4557.651000000002,19164.167999999998,16470.374999999996,4608.492000000001,17289.193,2319.7400000000002,2020.8310000000001,8984.385000000002,10702.876999999999,7783.3870000000015,14225.671999999997,5731.221000000001,24291.197999999993,20824.045000000002,6239.369000000001,22546.003999999997,18818.196,6644.620000000001,1738.7889999999998,1325.482,1604.3719999999998,6441.698000000001,14332.606999999995,4369.396000000001,5673.320000000002,2788.762999999999,6872.793000000003,488.519,5502.357000000002,12294.777999999997,6927.192000000004,8687.011000000002,6206.162000000003,9960.561999999998,3061.2310000000007,4087.297,12253.560999999996,3082.9329999999995,2616.3279999999995,6938.608000000004,3975.169999999999
Mabalanoy Elementary School,8018.210000000002,5390.373999999999,19996.891000000003,17303.097999999998,5441.214999999999,18121.916,3523.774,4499.731,9817.108000000002,11535.6,9500.12,15058.394999999999,3249.475,25123.921,21656.768000000007,5658.227999999999,23378.727000000003,19650.919000000005,4162.874,5222.475999999999,2158.205,3626.955,5727.388000000001,15165.329999999996,3655.086,4959.01,4396.745999999999,7705.516000000002,3000.5020000000004,7929.81,13127.500999999998,7759.915000000003,9519.734000000002,7038.885000000002,8049.616,2346.9210000000003,3372.987,13086.283999999998,3915.656,3449.0509999999995,7771.331000000003,6454.070000000001
